分类,序号,时间戳(s),建模用途,文件名,绝对路径
B_terrain_wire,4,10.50,地形三角网结构与线框材质,B_terrain_wire_04_10.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_wire_04_10.50s.jpg
B_terrain_wire,5,10.80,地形三角网结构与线框材质,B_terrain_wire_05_10.80s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_wire_05_10.80s.jpg
B_terrain_popup,1,11.50,风机点位、标签锚点与镜头,B_terrain_popup_01_11.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_popup_01_11.50s.jpg
B_terrain_popup,2,11.90,风机点位、标签锚点与镜头,B_terrain_popup_02_11.90s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/B_terrain_popup_02_11.90s.jpg
C_turbine_transparent,1,13.50,透明外壳、轮毂、主轴和机舱内部,C_turbine_transparent_01_13.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transparent_01_13.50s.jpg
C_turbine_transparent,2,13.80,透明外壳、轮毂、主轴和机舱内部,C_turbine_transparent_02_13.80s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transparent_02_13.80s.jpg
C_turbine_transparent,3,14.20,透明外壳、轮毂、主轴和机舱内部,C_turbine_transparent_03_14.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transparent_03_14.20s.jpg
C_turbine_transparent,4,14.50,透明外壳、轮毂、主轴和机舱内部,C_turbine_transparent_04_14.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transparent_04_14.50s.jpg
C_turbine_exterior,1,14.75,叶片、轮毂、机舱和塔筒外观,C_turbine_exterior_01_14.75s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_exterior_01_14.75s.jpg
C_turbine_exterior,2,15.00,叶片、轮毂、机舱和塔筒外观,C_turbine_exterior_02_15.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_exterior_02_15.00s.jpg
C_turbine_exterior,3,15.25,叶片、轮毂、机舱和塔筒外观,C_turbine_exterior_03_15.25s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_exterior_03_15.25s.jpg
C_turbine_exterior,4,15.45,叶片、轮毂、机舱和塔筒外观,C_turbine_exterior_04_15.45s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_exterior_04_15.45s.jpg
C_turbine_transition,1,15.70,同一模型的表现切换，不新增几何,C_turbine_transition_01_15.70s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_01_15.70s.jpg
C_turbine_transition,2,16.00,同一模型的表现切换，不新增几何,C_turbine_transition_02_16.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_02_16.00s.jpg
C_turbine_transition,3,16.30,同一模型的表现切换，不新增几何,C_turbine_transition_03_16.30s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_03_16.30s.jpg
C_turbine_transition,4,16.60,同一模型的表现切换，不新增几何,C_turbine_transition_04_16.60s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_04_16.60s.jpg
C_turbine_transition,5,17.00,同一模型的表现切换，不新增几何,C_turbine_transition_05_17.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_05_17.00s.jpg
C_turbine_transition,6,17.40,同一模型的表现切换，不新增几何,C_turbine_transition_06_17.40s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_transition_06_17.40s.jpg
C_turbine_explode,1,17.70,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_01_17.70s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_01_17.70s.jpg
C_turbine_explode,2,18.00,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_02_18.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_02_18.00s.jpg
C_turbine_explode,3,18.30,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_03_18.30s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_03_18.30s.jpg
C_turbine_explode,4,18.60,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_04_18.60s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_04_18.60s.jpg
C_turbine_explode,5,18.90,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_05_18.90s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_05_18.90s.jpg
C_turbine_explode,6,19.20,可拆零件层级、枢轴与爆炸方向,C_turbine_explode_06_19.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_explode_06_19.20s.jpg
C_turbine_reassembly,1,19.60,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_01_19.60s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_01_19.60s.jpg
C_turbine_reassembly,2,20.00,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_02_20.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_02_20.00s.jpg
C_turbine_reassembly,3,20.50,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_03_20.50s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_03_20.50s.jpg
C_turbine_reassembly,4,21.00,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_04_21.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_04_21.00s.jpg
C_turbine_reassembly,5,22.00,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_05_22.00s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_05_22.00s.jpg
C_turbine_reassembly,6,23.20,装配复位、多角度遮挡和透明效果,C_turbine_reassembly_06_23.20s.jpg,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/frame_library/full/C_turbine_reassembly_06_23.20s.jpg
