帧号,时间戳秒（约）,页面,页内状态,帧段说明
44,1.433,统计视图,广西3D地图,区域轮播高亮与指标滚动
45,1.467,统计视图,广西3D地图,区域轮播高亮与指标滚动
46,1.500,统计视图,广西3D地图,区域轮播高亮与指标滚动
47,1.533,统计视图,广西3D地图,区域轮播高亮与指标滚动
48,1.567,统计视图,广西3D地图,区域轮播高亮与指标滚动
49,1.600,统计视图,广西3D地图,区域轮播高亮与指标滚动
50,1.633,统计视图,广西3D地图,区域轮播高亮与指标滚动
51,1.667,统计视图,广西3D地图,区域轮播高亮与指标滚动
52,1.700,统计视图,广西3D地图,区域轮播高亮与指标滚动
53,1.733,统计视图,广西3D地图,区域轮播高亮与指标滚动
54,1.767,统计视图,广西3D地图,区域轮播高亮与指标滚动
55,1.800,统计视图,广西3D地图,区域轮播高亮与指标滚动
56,1.833,统计视图,广西3D地图,区域轮播高亮与指标滚动
57,1.867,统计视图,广西3D地图,区域轮播高亮与指标滚动
58,1.900,统计视图,广西3D地图,区域轮播高亮与指标滚动
59,1.933,统计视图,广西3D地图,区域轮播高亮与指标滚动
60,1.967,统计视图,广西3D地图,区域轮播高亮与指标滚动
61,2.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
62,2.033,统计视图,广西3D地图,区域轮播高亮与指标滚动
63,2.067,统计视图,广西3D地图,区域轮播高亮与指标滚动
64,2.100,统计视图,广西3D地图,区域轮播高亮与指标滚动
65,2.133,统计视图,广西3D地图,区域轮播高亮与指标滚动
66,2.167,统计视图,广西3D地图,区域轮播高亮与指标滚动
67,2.200,统计视图,广西3D地图,区域轮播高亮与指标滚动
68,2.233,统计视图,广西3D地图,区域轮播高亮与指标滚动
69,2.267,统计视图,广西3D地图,区域轮播高亮与指标滚动
70,2.300,统计视图,广西3D地图,区域轮播高亮与指标滚动
71,2.333,统计视图,广西3D地图,区域轮播高亮与指标滚动
72,2.367,统计视图,广西3D地图,区域轮播高亮与指标滚动
73,2.400,统计视图,广西3D地图,区域轮播高亮与指标滚动
74,2.433,统计视图,广西3D地图,区域轮播高亮与指标滚动
75,2.467,统计视图,广西3D地图,区域轮播高亮与指标滚动
76,2.500,统计视图,广西3D地图,区域轮播高亮与指标滚动
77,2.533,统计视图,广西3D地图,区域轮播高亮与指标滚动
78,2.567,统计视图,广西3D地图,区域轮播高亮与指标滚动
79,2.600,统计视图,广西3D地图,区域轮播高亮与指标滚动
80,2.633,统计视图,广西3D地图,区域轮播高亮与指标滚动
81,2.667,统计视图,广西3D地图,区域轮播高亮与指标滚动
82,2.700,统计视图,广西3D地图,区域轮播高亮与指标滚动
83,2.733,统计视图,广西3D地图,区域轮播高亮与指标滚动
84,2.767,统计视图,广西3D地图,区域轮播高亮与指标滚动
85,2.800,统计视图,广西3D地图,区域轮播高亮与指标滚动
86,2.833,统计视图,广西3D地图,区域轮播高亮与指标滚动
87,2.867,统计视图,广西3D地图,区域轮播高亮与指标滚动
88,2.900,统计视图,广西3D地图,区域轮播高亮与指标滚动
89,2.933,统计视图,广西3D地图,区域轮播高亮与指标滚动
90,2.967,统计视图,广西3D地图,区域轮播高亮与指标滚动
91,3.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
92,3.033,统计视图,广西3D地图,区域轮播高亮与指标滚动
93,3.067,统计视图,广西3D地图,区域轮播高亮与指标滚动
94,3.100,统计视图,广西3D地图,区域轮播高亮与指标滚动
95,3.133,统计视图,广西3D地图,区域轮播高亮与指标滚动
96,3.167,统计视图,广西3D地图,区域轮播高亮与指标滚动
97,3.200,统计视图,广西3D地图,区域轮播高亮与指标滚动
98,3.233,统计视图,广西3D地图,区域轮播高亮与指标滚动
99,3.267,统计视图,广西3D地图,区域轮播高亮与指标滚动
100,3.300,统计视图,广西3D地图,区域轮播高亮与指标滚动
101,3.333,统计视图,广西3D地图,区域轮播高亮与指标滚动
102,3.367,统计视图,广西3D地图,区域轮播高亮与指标滚动
103,3.400,统计视图,广西3D地图,区域轮播高亮与指标滚动
104,3.433,统计视图,广西3D地图,区域轮播高亮与指标滚动
105,3.467,统计视图,广西3D地图,区域轮播高亮与指标滚动
106,3.500,统计视图,广西3D地图,区域轮播高亮与指标滚动
107,3.533,统计视图,广西3D地图,区域轮播高亮与指标滚动
108,3.567,统计视图,广西3D地图,区域轮播高亮与指标滚动
109,3.600,统计视图,广西3D地图,区域轮播高亮与指标滚动
110,3.633,统计视图,广西3D地图,区域轮播高亮与指标滚动
111,3.667,统计视图,广西3D地图,区域轮播高亮与指标滚动
112,3.700,统计视图,广西3D地图,区域轮播高亮与指标滚动
113,3.733,统计视图,广西3D地图,区域轮播高亮与指标滚动
114,3.767,统计视图,广西3D地图,区域轮播高亮与指标滚动
115,3.800,统计视图,广西3D地图,区域轮播高亮与指标滚动
116,3.833,统计视图,广西3D地图,区域轮播高亮与指标滚动
117,3.867,统计视图,广西3D地图,区域轮播高亮与指标滚动
118,3.900,统计视图,广西3D地图,区域轮播高亮与指标滚动
119,3.933,统计视图,广西3D地图,区域轮播高亮与指标滚动
120,3.967,统计视图,广西3D地图,区域轮播高亮与指标滚动
121,4.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
122,4.033,统计视图,广西3D地图,区域轮播高亮与指标滚动
123,4.067,统计视图,广西3D地图,区域轮播高亮与指标滚动
124,4.100,统计视图,广西3D地图,区域轮播高亮与指标滚动
125,4.133,统计视图,广西3D地图,区域轮播高亮与指标滚动
126,4.167,统计视图,广西3D地图,区域轮播高亮与指标滚动
127,4.200,统计视图,广西3D地图,区域轮播高亮与指标滚动
128,4.233,统计视图,广西3D地图,区域轮播高亮与指标滚动
129,4.267,统计视图,广西3D地图,区域轮播高亮与指标滚动
130,4.300,统计视图,广西3D地图,区域轮播高亮与指标滚动
131,4.333,统计视图,广西3D地图,区域轮播高亮与指标滚动
132,4.367,统计视图,广西3D地图,区域轮播高亮与指标滚动
133,4.400,统计视图,广西3D地图,区域轮播高亮与指标滚动
134,4.433,统计视图,广西3D地图,区域轮播高亮与指标滚动
135,4.467,统计视图,广西3D地图,区域轮播高亮与指标滚动
136,4.500,统计视图,广西3D地图,区域轮播高亮与指标滚动
137,4.533,统计视图,广西3D地图,区域轮播高亮与指标滚动
138,4.567,统计视图,广西3D地图,区域轮播高亮与指标滚动
139,4.600,统计视图,广西3D地图,区域轮播高亮与指标滚动
140,4.633,统计视图,广西3D地图,区域轮播高亮与指标滚动
141,4.667,统计视图,广西3D地图,区域轮播高亮与指标滚动
142,4.700,统计视图,广西3D地图,区域轮播高亮与指标滚动
143,4.733,统计视图,广西3D地图,区域轮播高亮与指标滚动
144,4.767,统计视图,广西3D地图,区域轮播高亮与指标滚动
145,4.800,统计视图,广西3D地图,区域轮播高亮与指标滚动
146,4.833,统计视图,广西3D地图,区域轮播高亮与指标滚动
147,4.867,统计视图,广西3D地图,区域轮播高亮与指标滚动
148,4.900,统计视图,广西3D地图,区域轮播高亮与指标滚动
149,4.933,统计视图,广西3D地图,区域轮播高亮与指标滚动
150,4.967,统计视图,广西3D地图,区域轮播高亮与指标滚动
151,5.000,统计视图,广西3D地图,区域轮播高亮与指标滚动
152,5.033,风场管理,实体地形,山地、水面、风机点位与设备表滚动
153,5.067,风场管理,实体地形,山地、水面、风机点位与设备表滚动
154,5.100,风场管理,实体地形,山地、水面、风机点位与设备表滚动
155,5.133,风场管理,实体地形,山地、水面、风机点位与设备表滚动
156,5.167,风场管理,实体地形,山地、水面、风机点位与设备表滚动
157,5.200,风场管理,实体地形,山地、水面、风机点位与设备表滚动
158,5.233,风场管理,实体地形,山地、水面、风机点位与设备表滚动
159,5.267,风场管理,实体地形,山地、水面、风机点位与设备表滚动
160,5.300,风场管理,实体地形,山地、水面、风机点位与设备表滚动
161,5.333,风场管理,实体地形,山地、水面、风机点位与设备表滚动
162,5.367,风场管理,实体地形,山地、水面、风机点位与设备表滚动
163,5.400,风场管理,实体地形,山地、水面、风机点位与设备表滚动
164,5.433,风场管理,实体地形,山地、水面、风机点位与设备表滚动
165,5.467,风场管理,实体地形,山地、水面、风机点位与设备表滚动
166,5.500,风场管理,实体地形,山地、水面、风机点位与设备表滚动
167,5.533,风场管理,实体地形,山地、水面、风机点位与设备表滚动
168,5.567,风场管理,实体地形,山地、水面、风机点位与设备表滚动
169,5.600,风场管理,实体地形,山地、水面、风机点位与设备表滚动
170,5.633,风场管理,实体地形,山地、水面、风机点位与设备表滚动
171,5.667,风场管理,实体地形,山地、水面、风机点位与设备表滚动
172,5.700,风场管理,实体地形,山地、水面、风机点位与设备表滚动
173,5.733,风场管理,实体地形,山地、水面、风机点位与设备表滚动
174,5.767,风场管理,实体地形,山地、水面、风机点位与设备表滚动
175,5.800,风场管理,实体地形,山地、水面、风机点位与设备表滚动
176,5.833,风场管理,实体地形,山地、水面、风机点位与设备表滚动
177,5.867,风场管理,实体地形,山地、水面、风机点位与设备表滚动
178,5.900,风场管理,实体地形,山地、水面、风机点位与设备表滚动
179,5.933,风场管理,实体地形,山地、水面、风机点位与设备表滚动
180,5.967,风场管理,实体地形,山地、水面、风机点位与设备表滚动
181,6.000,风场管理,实体地形,山地、水面、风机点位与设备表滚动
182,6.033,风场管理,实体地形,山地、水面、风机点位与设备表滚动
183,6.067,风场管理,实体地形,山地、水面、风机点位与设备表滚动
184,6.100,风场管理,实体地形,山地、水面、风机点位与设备表滚动
185,6.133,风场管理,实体地形,山地、水面、风机点位与设备表滚动
186,6.167,风场管理,实体地形,山地、水面、风机点位与设备表滚动
187,6.200,风场管理,实体地形,山地、水面、风机点位与设备表滚动
188,6.233,风场管理,实体地形,山地、水面、风机点位与设备表滚动
189,6.267,风场管理,实体地形,山地、水面、风机点位与设备表滚动
190,6.300,风场管理,实体地形,山地、水面、风机点位与设备表滚动
191,6.333,风场管理,实体地形,山地、水面、风机点位与设备表滚动
192,6.367,风场管理,实体地形,山地、水面、风机点位与设备表滚动
193,6.400,风场管理,实体地形,山地、水面、风机点位与设备表滚动
194,6.433,风场管理,实体地形,山地、水面、风机点位与设备表滚动
195,6.467,风场管理,实体地形,山地、水面、风机点位与设备表滚动
196,6.500,风场管理,实体地形,山地、水面、风机点位与设备表滚动
197,6.533,风场管理,实体地形,山地、水面、风机点位与设备表滚动
198,6.567,风场管理,实体地形,山地、水面、风机点位与设备表滚动
199,6.600,风场管理,实体地形,山地、水面、风机点位与设备表滚动
200,6.633,风场管理,实体地形,山地、水面、风机点位与设备表滚动
201,6.667,风场管理,实体地形,山地、水面、风机点位与设备表滚动
202,6.700,风场管理,实体地形,山地、水面、风机点位与设备表滚动
203,6.733,风场管理,实体地形,山地、水面、风机点位与设备表滚动
204,6.767,风场管理,实体地形,山地、水面、风机点位与设备表滚动
205,6.800,风场管理,实体地形,山地、水面、风机点位与设备表滚动
206,6.833,风场管理,实体地形,山地、水面、风机点位与设备表滚动
207,6.867,风场管理,实体地形,山地、水面、风机点位与设备表滚动
208,6.900,风场管理,实体地形,山地、水面、风机点位与设备表滚动
209,6.933,风场管理,实体地形,山地、水面、风机点位与设备表滚动
210,6.967,风场管理,实体地形,山地、水面、风机点位与设备表滚动
211,7.000,风场管理,实体地形,山地、水面、风机点位与设备表滚动
212,7.033,风场管理,实体地形,山地、水面、风机点位与设备表滚动
213,7.067,风场管理,实体地形,山地、水面、风机点位与设备表滚动
214,7.100,风场管理,实体地形,山地、水面、风机点位与设备表滚动
215,7.133,风场管理,实体地形,山地、水面、风机点位与设备表滚动
216,7.167,风场管理,实体地形,山地、水面、风机点位与设备表滚动
217,7.200,风场管理,实体地形,山地、水面、风机点位与设备表滚动
218,7.233,风场管理,实体地形,山地、水面、风机点位与设备表滚动
219,7.267,风场管理,实体地形,山地、水面、风机点位与设备表滚动
220,7.300,风场管理,实体地形,山地、水面、风机点位与设备表滚动
221,7.333,风场管理,实体地形,山地、水面、风机点位与设备表滚动
222,7.367,风场管理,实体地形,山地、水面、风机点位与设备表滚动
223,7.400,风场管理,实体地形,山地、水面、风机点位与设备表滚动
224,7.433,风场管理,实体地形,山地、水面、风机点位与设备表滚动
225,7.467,风场管理,实体地形,山地、水面、风机点位与设备表滚动
226,7.500,风场管理,实体地形,山地、水面、风机点位与设备表滚动
227,7.533,风场管理,实体地形,山地、水面、风机点位与设备表滚动
228,7.567,风场管理,实体地形,山地、水面、风机点位与设备表滚动
229,7.600,风场管理,实体地形,山地、水面、风机点位与设备表滚动
230,7.633,风场管理,实体地形,山地、水面、风机点位与设备表滚动
231,7.667,风场管理,实体地形,山地、水面、风机点位与设备表滚动
232,7.700,风场管理,实体地形,山地、水面、风机点位与设备表滚动
233,7.733,风场管理,实体地形,山地、水面、风机点位与设备表滚动
234,7.767,风场管理,实体地形,山地、水面、风机点位与设备表滚动
235,7.800,风场管理,实体地形,山地、水面、风机点位与设备表滚动
236,7.833,风场管理,实体地形,山地、水面、风机点位与设备表滚动
237,7.867,风场管理,实体地形,山地、水面、风机点位与设备表滚动
238,7.900,风场管理,实体地形,山地、水面、风机点位与设备表滚动
239,7.933,风场管理,实体地形,山地、水面、风机点位与设备表滚动
240,7.967,风场管理,实体地形,山地、水面、风机点位与设备表滚动
241,8.000,风场管理,实体地形,山地、水面、风机点位与设备表滚动
242,8.033,风场管理,实体地形,山地、水面、风机点位与设备表滚动
243,8.067,风场管理,实体地形,山地、水面、风机点位与设备表滚动
244,8.100,风场管理,实体地形,山地、水面、风机点位与设备表滚动
245,8.133,风场管理,实体地形,山地、水面、风机点位与设备表滚动
246,8.167,风场管理,实体地形,山地、水面、风机点位与设备表滚动
247,8.200,风场管理,实体地形,山地、水面、风机点位与设备表滚动
248,8.233,风场管理,实体地形,山地、水面、风机点位与设备表滚动
249,8.267,风场管理,实体地形,山地、水面、风机点位与设备表滚动
250,8.300,风场管理,实体地形,山地、水面、风机点位与设备表滚动
251,8.333,风场管理,实体地形,山地、水面、风机点位与设备表滚动
252,8.367,风场管理,实体地形,山地、水面、风机点位与设备表滚动
253,8.400,风场管理,实体地形,山地、水面、风机点位与设备表滚动
254,8.433,风场管理,实体地形,山地、水面、风机点位与设备表滚动
255,8.467,风场管理,实体地形,山地、水面、风机点位与设备表滚动
256,8.500,风场管理,实体地形,山地、水面、风机点位与设备表滚动
257,8.533,风场管理,实体地形,山地、水面、风机点位与设备表滚动
258,8.567,风场管理,实体地形,山地、水面、风机点位与设备表滚动
259,8.600,风场管理,实体地形,山地、水面、风机点位与设备表滚动
260,8.633,风场管理,实体地形,山地、水面、风机点位与设备表滚动
261,8.667,风场管理,实体地形,山地、水面、风机点位与设备表滚动
262,8.700,风场管理,实体地形,山地、水面、风机点位与设备表滚动
263,8.733,风场管理,实体地形,山地、水面、风机点位与设备表滚动
264,8.767,风场管理,实体地形,山地、水面、风机点位与设备表滚动
265,8.800,风场管理,实体地形,山地、水面、风机点位与设备表滚动
266,8.833,风场管理,实体地形,山地、水面、风机点位与设备表滚动
267,8.867,风场管理,实体地形,山地、水面、风机点位与设备表滚动
268,8.900,风场管理,实体地形,山地、水面、风机点位与设备表滚动
269,8.933,风场管理,实体地形,山地、水面、风机点位与设备表滚动
270,8.967,风场管理,实体地形,山地、水面、风机点位与设备表滚动
271,9.000,风场管理,实体地形,山地、水面、风机点位与设备表滚动
272,9.033,风场管理,实体地形,山地、水面、风机点位与设备表滚动
273,9.067,风场管理,实体地形,山地、水面、风机点位与设备表滚动
274,9.100,风场管理,实体地形,山地、水面、风机点位与设备表滚动
275,9.133,风场管理,实体地形,山地、水面、风机点位与设备表滚动
276,9.167,风场管理,实体地形,山地、水面、风机点位与设备表滚动
277,9.200,风场管理,实体地形,山地、水面、风机点位与设备表滚动
278,9.233,风场管理,实体地形,山地、水面、风机点位与设备表滚动
279,9.267,风场管理,实体地形,山地、水面、风机点位与设备表滚动
280,9.300,风场管理,实体地形,山地、水面、风机点位与设备表滚动
281,9.333,风场管理,线框地形,投影/线框图层开启
282,9.367,风场管理,线框地形,投影/线框图层开启
283,9.400,风场管理,线框地形,投影/线框图层开启
284,9.433,风场管理,线框地形,投影/线框图层开启
285,9.467,风场管理,线框地形,投影/线框图层开启
286,9.500,风场管理,线框地形,投影/线框图层开启
287,9.533,风场管理,线框地形,投影/线框图层开启
288,9.567,风场管理,线框地形,投影/线框图层开启
289,9.600,风场管理,线框地形,投影/线框图层开启
290,9.633,风场管理,线框地形,投影/线框图层开启
291,9.667,风场管理,线框地形,投影/线框图层开启
292,9.700,风场管理,线框地形,投影/线框图层开启
293,9.733,风场管理,线框地形,投影/线框图层开启
294,9.767,风场管理,线框地形,投影/线框图层开启
295,9.800,风场管理,线框地形,投影/线框图层开启
296,9.833,风场管理,线框地形,投影/线框图层开启
297,9.867,风场管理,线框地形,投影/线框图层开启
298,9.900,风场管理,线框地形,投影/线框图层开启
299,9.933,风场管理,线框地形,投影/线框图层开启
300,9.967,风场管理,线框地形,投影/线框图层开启
301,10.000,风场管理,线框地形,投影/线框图层开启
302,10.033,风场管理,线框地形,投影/线框图层开启
303,10.067,风场管理,线框地形,投影/线框图层开启
304,10.100,风场管理,线框地形,投影/线框图层开启
305,10.133,风场管理,线框地形,投影/线框图层开启
306,10.167,风场管理,线框地形,投影/线框图层开启
307,10.200,风场管理,线框地形,投影/线框图层开启
308,10.233,风场管理,线框地形,投影/线框图层开启
309,10.267,风场管理,线框地形,投影/线框图层开启
310,10.300,风场管理,线框地形,投影/线框图层开启
311,10.333,风场管理,线框地形,投影/线框图层开启
312,10.367,风场管理,线框地形,投影/线框图层开启
313,10.400,风场管理,线框地形,投影/线框图层开启
314,10.433,风场管理,线框地形,投影/线框图层开启
315,10.467,风场管理,线框地形,投影/线框图层开启
316,10.500,风场管理,线框地形,投影/线框图层开启
317,10.533,风场管理,线框地形,投影/线框图层开启
318,10.567,风场管理,线框地形,投影/线框图层开启
319,10.600,风场管理,线框地形,投影/线框图层开启
320,10.633,风场管理,线框地形,投影/线框图层开启
321,10.667,风场管理,线框地形,投影/线框图层开启
322,10.700,风场管理,线框地形,投影/线框图层开启
323,10.733,风场管理,线框地形,投影/线框图层开启
324,10.767,风场管理,线框地形,投影/线框图层开启
325,10.800,风场管理,线框地形,投影/线框图层开启
326,10.833,风场管理,线框地形,投影/线框图层开启
327,10.867,风场管理,线框地形,投影/线框图层开启
328,10.900,风场管理,线框地形,投影/线框图层开启
329,10.933,风场管理,线框地形,投影/线框图层开启
330,10.967,风场管理,线框地形,投影/线框图层开启
331,11.000,风场管理,线框地形,投影/线框图层开启
332,11.033,风场管理,实体地形,线框图层关闭
333,11.067,风场管理,实体地形,线框图层关闭
334,11.100,风场管理,实体地形,线框图层关闭
335,11.133,风场管理,实体地形,线框图层关闭
336,11.167,风场管理,实体地形,线框图层关闭
337,11.200,风场管理,实体地形,线框图层关闭
338,11.233,风场管理,实体地形,线框图层关闭
339,11.267,风场管理,实体地形,线框图层关闭
340,11.300,风场管理,实体地形,线框图层关闭
341,11.333,风场管理,实体地形,线框图层关闭
342,11.367,风场管理,实体地形,线框图层关闭
343,11.400,风场管理,实体地形,线框图层关闭
344,11.433,风场管理,实体地形,线框图层关闭
345,11.467,风场管理,实体地形,线框图层关闭
346,11.500,风场管理,实体地形,线框图层关闭
347,11.533,风场管理,风机弹窗,选择主风机A
348,11.567,风场管理,风机弹窗,选择主风机A
349,11.600,风场管理,风机弹窗,选择主风机A
350,11.633,风场管理,风机弹窗,选择主风机A
351,11.667,风场管理,风机弹窗,选择主风机A
352,11.700,风场管理,风机弹窗,选择主风机A
353,11.733,风场管理,风机弹窗,选择主风机A
354,11.767,风场管理,风机弹窗,选择主风机A
355,11.800,风场管理,风机弹窗,选择主风机A
356,11.833,风场管理,风机弹窗,选择主风机A
357,11.867,风场管理,风机弹窗,选择主风机A
358,11.900,风场管理,风机弹窗,选择主风机A
359,11.933,风场管理,风机弹窗,选择主风机A
360,11.967,风场管理,风机弹窗,选择主风机A
361,12.000,风场管理,风机弹窗,选择主风机A
362,12.033,风场管理,风机弹窗,选择主风机A
363,12.067,风场管理,风机弹窗,选择主风机A
364,12.100,风场管理,风机弹窗,选择主风机A
365,12.133,风场管理,风机弹窗,选择主风机A
366,12.167,风场管理,风机弹窗,选择主风机A
367,12.200,风场管理,风机弹窗,选择主风机A
368,12.233,风场管理,风机弹窗,选择主风机A
369,12.267,风场管理,风机弹窗,选择主风机A
370,12.300,风场管理,风机弹窗,选择主风机A
371,12.333,统计视图,广西3D地图,返回统计视图
372,12.367,统计视图,广西3D地图,返回统计视图
373,12.400,统计视图,广西3D地图,返回统计视图
374,12.433,统计视图,广西3D地图,返回统计视图
375,12.467,统计视图,广西3D地图,返回统计视图
376,12.500,统计视图,广西3D地图,返回统计视图
377,12.533,统计视图,广西3D地图,返回统计视图
378,12.567,统计视图,广西3D地图,返回统计视图
379,12.600,统计视图,广西3D地图,返回统计视图
380,12.633,统计视图,广西3D地图,返回统计视图
381,12.667,统计视图,广西3D地图,返回统计视图
382,12.700,统计视图,广西3D地图,返回统计视图
383,12.733,统计视图,广西3D地图,返回统计视图
384,12.767,统计视图,广西3D地图,返回统计视图
385,12.800,统计视图,广西3D地图,返回统计视图
386,12.833,统计视图,广西3D地图,返回统计视图
387,12.867,统计视图,广西3D地图,返回统计视图
388,12.900,统计视图,广西3D地图,返回统计视图
389,12.933,统计视图,广西3D地图,返回统计视图
390,12.967,统计视图,广西3D地图,返回统计视图
391,13.000,统计视图,广西3D地图,返回统计视图
392,13.033,统计视图,广西3D地图,返回统计视图
393,13.067,统计视图,广西3D地图,返回统计视图
394,13.100,统计视图,广西3D地图,返回统计视图
395,13.133,统计视图,广西3D地图,返回统计视图
396,13.167,统计视图,广西3D地图,返回统计视图
397,13.200,统计视图,广西3D地图,返回统计视图
398,13.233,统计视图,广西3D地图,返回统计视图
399,13.267,统计视图,广西3D地图,返回统计视图
400,13.300,统计视图,广西3D地图,返回统计视图
401,13.333,统计视图,广西3D地图,返回统计视图
402,13.367,统计视图,广西3D地图,返回统计视图
403,13.400,运维管理,透视,透明外壳显示内部件
404,13.433,运维管理,透视,透明外壳显示内部件
405,13.467,运维管理,透视,透明外壳显示内部件
406,13.500,运维管理,透视,透明外壳显示内部件
407,13.533,运维管理,透视,透明外壳显示内部件
408,13.567,运维管理,透视,透明外壳显示内部件
409,13.600,运维管理,透视,透明外壳显示内部件
410,13.633,运维管理,透视,透明外壳显示内部件
411,13.667,运维管理,透视,透明外壳显示内部件
412,13.700,运维管理,透视,透明外壳显示内部件
413,13.733,运维管理,透视,透明外壳显示内部件
414,13.767,运维管理,透视,透明外壳显示内部件
415,13.800,运维管理,透视,透明外壳显示内部件
416,13.833,运维管理,透视,透明外壳显示内部件
417,13.867,运维管理,透视,透明外壳显示内部件
418,13.900,运维管理,透视,透明外壳显示内部件
419,13.933,运维管理,透视,透明外壳显示内部件
420,13.967,运维管理,透视,透明外壳显示内部件
421,14.000,运维管理,透视,透明外壳显示内部件
422,14.033,运维管理,透视,透明外壳显示内部件
423,14.067,运维管理,透视,透明外壳显示内部件
424,14.100,运维管理,透视,透明外壳显示内部件
425,14.133,运维管理,透视,透明外壳显示内部件
426,14.167,运维管理,透视,透明外壳显示内部件
427,14.200,运维管理,透视,透明外壳显示内部件
428,14.233,运维管理,透视,透明外壳显示内部件
429,14.267,运维管理,透视,透明外壳显示内部件
430,14.300,运维管理,透视,透明外壳显示内部件
431,14.333,运维管理,透视,透明外壳显示内部件
432,14.367,运维管理,透视,透明外壳显示内部件
433,14.400,运维管理,透视,透明外壳显示内部件
434,14.433,运维管理,透视,透明外壳显示内部件
435,14.467,运维管理,透视,透明外壳显示内部件
436,14.500,运维管理,透视,透明外壳显示内部件
437,14.533,运维管理,透视,透明外壳显示内部件
438,14.567,运维管理,透视,透明外壳显示内部件
439,14.600,运维管理,透视,透明外壳显示内部件
440,14.633,运维管理,透视,透明外壳显示内部件
441,14.667,运维管理,透视,透明外壳显示内部件
442,14.700,运维管理,透视,透明外壳显示内部件
443,14.733,运维管理,外部,白色实体风机
444,14.767,运维管理,外部,白色实体风机
445,14.800,运维管理,外部,白色实体风机
446,14.833,运维管理,外部,白色实体风机
447,14.867,运维管理,外部,白色实体风机
448,14.900,运维管理,外部,白色实体风机
449,14.933,运维管理,外部,白色实体风机
450,14.967,运维管理,外部,白色实体风机
451,15.000,运维管理,外部,白色实体风机
452,15.033,运维管理,外部,白色实体风机
453,15.067,运维管理,外部,白色实体风机
454,15.100,运维管理,外部,白色实体风机
455,15.133,运维管理,外部,白色实体风机
456,15.167,运维管理,外部,白色实体风机
457,15.200,运维管理,外部,白色实体风机
458,15.233,运维管理,外部,白色实体风机
459,15.267,运维管理,外部,白色实体风机
460,15.300,运维管理,外部,白色实体风机
461,15.333,运维管理,外部,白色实体风机
462,15.367,运维管理,外部,白色实体风机
463,15.400,运维管理,外部,白色实体风机
464,15.433,运维管理,外部,白色实体风机
465,15.467,运维管理,外部,白色实体风机
