参考板,源参考板文件,面板序号,宽,高,独立图片绝对路径
A 地图几何拆分,A02-map-geometry-breakdown.png,6,561,468,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/A_map/panels/A02-map-geometry-breakdown-p06.png
B 地形实体六视角,B01-terrain-six-view-solid.png,1,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p01.png
B 地形实体六视角,B01-terrain-six-view-solid.png,2,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p02.png
B 地形实体六视角,B01-terrain-six-view-solid.png,3,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p03.png
B 地形实体六视角,B01-terrain-six-view-solid.png,4,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p04.png
B 地形实体六视角,B01-terrain-six-view-solid.png,5,768,342,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p05.png
B 地形实体六视角,B01-terrain-six-view-solid.png,6,768,342,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B01-terrain-six-view-solid-p06.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,1,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p01.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,2,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p02.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,3,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p03.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,4,768,341,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p04.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,5,768,342,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p05.png
B 地形线框六视角,B02-terrain-six-view-wireframe.png,6,768,342,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B02-terrain-six-view-wireframe-p06.png
B 地形高度与分层,B03-terrain-heightmap-layer-breakdown.png,1,768,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B03-terrain-heightmap-layer-breakdown-p01.png
B 地形高度与分层,B03-terrain-heightmap-layer-breakdown.png,2,768,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B03-terrain-heightmap-layer-breakdown-p02.png
B 地形高度与分层,B03-terrain-heightmap-layer-breakdown.png,3,768,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B03-terrain-heightmap-layer-breakdown-p03.png
B 地形高度与分层,B03-terrain-heightmap-layer-breakdown.png,4,768,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/B_terrain/panels/B03-terrain-heightmap-layer-breakdown-p04.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p01.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p02.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p03.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p04.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p05.png
C 风机外观六视角,C01-turbine-exterior-six-view.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C01-turbine-exterior-six-view-p06.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p01.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p02.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p03.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p04.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p05.png
C 风机透明剖视,C02-turbine-transparent-cutaway.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C02-turbine-transparent-cutaway-p06.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p01.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p02.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p03.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p04.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p05.png
C 风机爆炸装配,C03-turbine-exploded-assembly.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C03-turbine-exploded-assembly-p06.png
C 风机零件特写,C04-turbine-component-closeups.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p01.png
C 风机零件特写,C04-turbine-component-closeups.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p02.png
C 风机零件特写,C04-turbine-component-closeups.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p03.png
C 风机零件特写,C04-turbine-component-closeups.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p04.png
C 风机零件特写,C04-turbine-component-closeups.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p05.png
C 风机零件特写,C04-turbine-component-closeups.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C04-turbine-component-closeups-p06.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,1,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p01.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,2,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p02.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,3,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p03.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,4,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p04.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,5,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p05.png
C 风机线框拓扑,C05-turbine-wireframe-topology.png,6,512,512,/Users/duanhangyu/Documents/ChatGPT/数字孪生/analysis/modeling/ai_reference_turnarounds/C_turbine/panels/C05-turbine-wireframe-topology-p06.png
